gate,passed,detail
registry_frozen,1,"hash 36192552 over 32 leaves"
matrix_complete_unique,1,"120/120 unique rows"
exact_seed_cell_arm_coverage,1,"30 fresh seeds, two cells and two arms exact"
paired_absolute_realizations,1,"channel, estimator, witness kernel and logical opportunities paired"
one_hop_witness_cover,1,"1260 hidden conflict-edge instances; max witness load 8"
clock_impairment_declared,1,"only affine arm consumes the paired bounded clock realization"
affine_clock_and_guard_certificate,1,"max residual 4.44e-16 s; min gap 0.000352 s"
witness_kernel_safety,1,"0 false-valid, 0 scheduled-collision, 0 unsupported cert"
zero_loss_renewal_contract,1,"max retry 0; max attempt/byte ratios 0.077500/0.077500"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
all_elcs_w_opportunities_served,1,"0 skipped opportunities"
exact_data_outcome_replay,1,"success, erasure and collision masks match the witness schedule"
variable_payload_management_accounting,1,"max byte-to-airtime residual 5.55e-17 s"
cross_plane_nonoverlap,1,"0 overlap witnesses"
recipient_and_airtime_accounting,1,"recipient partition and DATA/ACK/control utilization close"
protocol_invariants,1,"0 invariant violations"
all_failures_retained,1,"0 unsafe, 0 divergent and 0 uncertified retained"
integration_scope_only,1,"no tuning, promotion, frontier claim or submission decision"
